"group_order","row_order","experiment_group","experiment_name","script","job_ids","model_label","metric_name_raw","metric_name","metric_value","metric_std","metric_delta","source_fragment","paper_usage"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A2","overall","overall","0.7720","0.0216","","overall=0.7720±0.0216","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A2","RV-FA","rv_fa","1.0000","0.0000","","RV-FA=1.0000±0.0000","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A2","FV-RA","fv_ra","0.5004","0.0473","","FV-RA=0.5004±0.0473","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A2","FV-FA","fv_fa","0.9996","0.0001","","FV-FA=0.9996±0.0001","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A5","overall","overall","0.8215","0.0068","","overall=0.8215±0.0068","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A5","RV-FA","rv_fa","0.9985","0.0021","","RV-FA=0.9985±0.0021","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A5","FV-RA","fv_ra","0.6130","0.0143","","FV-RA=0.6130±0.0143","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A5","FV-FA","fv_fa","0.9961","0.0055","","FV-FA=0.9961±0.0055","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A6","overall","overall","0.8439","0.0356","","overall=0.8439±0.0356","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A6","RV-FA","rv_fa","1.0000","0.0000","","RV-FA=1.0000±0.0000","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A6","FV-RA","fv_ra","0.6585","0.0786","","FV-RA=0.6585±0.0786","Main OOD performance table"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A6","FV-FA","fv_fa","0.9991","0.0006","","FV-FA=0.9991±0.0006","Main OOD performance table"
"1","2","STRUCTURAL BASELINE","E2E FAVC AUC (unfrozen encoder)","E2E training + eval","Prior runs","A2_e2e","overall","overall","0.7079","","","overall=0.7079","FCD architecture advantage is not from frozen encoder"
"1","2","STRUCTURAL BASELINE","E2E FAVC AUC (unfrozen encoder)","E2E training + eval","Prior runs","A6_e2e","overall","overall","0.8667","","","overall=0.8667","FCD architecture advantage is not from frozen encoder"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2","Zc_ind","zc_ind","0.9420","0.0083","","Zc_ind=0.9420±0.0083","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2","Zc_OOD","zc_ood","0.7052","","","Zc_OOD=0.7052","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2","Zc_dom","zc_dom","0.9975","","","Zc_dom=0.9975","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2","Zs_ind","zs_ind","0.9190","","","Zs_ind=0.9190","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2","Zs_OOD","zs_ood","0.7396","","","Zs_OOD=0.7396","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2","Zs_dom","zs_dom","0.9962","","","Zs_dom=0.9962","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A5","Zc_ind","zc_ind","0.9970","0.0026","","Zc_ind=0.9970±0.0026","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A5","Zc_OOD","zc_ood","0.7744","","","Zc_OOD=0.7744","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A5","Zc_dom","zc_dom","0.9966","","","Zc_dom=0.9966","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A5","Zs_ind","zs_ind","0.9967","","","Zs_ind=0.9967","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A5","Zs_OOD","zs_ood","0.7078","","","Zs_OOD=0.7078","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A5","Zs_dom","zs_dom","0.9956","","","Zs_dom=0.9956","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A6","Zc_ind","zc_ind","0.9944","0.0033","","Zc_ind=0.9944±0.0033","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A6","Zc_OOD","zc_ood","0.7480","","","Zc_OOD=0.7480","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A6","Zc_dom","zc_dom","0.9971","","","Zc_dom=0.9971","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A6","Zs_ind","zs_ind","0.9975","","","Zs_ind=0.9975","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A6","Zs_OOD","zs_ood","0.7127","","","Zs_OOD=0.7127","Corrects Section 3.5"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A6","Zs_dom","zs_dom","0.9974","","","Zs_dom=0.9974","Corrects Section 3.5"
"2","4","PROBE METHODOLOGY","Sequence-based domain probe (AV1M vs FAVC)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2","Zc_dom","zc_dom","0.9975","","","Zc_dom=0.9975","Reframes A6 narrative: gain is head routing not domain-invariant representation"
"2","4","PROBE METHODOLOGY","Sequence-based domain probe (AV1M vs FAVC)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2","Zs_dom","zs_dom","0.9962","","","Zs_dom=0.9962","Reframes A6 narrative: gain is head routing not domain-invariant representation"
"2","4","PROBE METHODOLOGY","Sequence-based domain probe (AV1M vs FAVC)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A5","Zc_dom","zc_dom","0.9966","","","Zc_dom=0.9966","Reframes A6 narrative: gain is head routing not domain-invariant representation"
"2","4","PROBE METHODOLOGY","Sequence-based domain probe (AV1M vs FAVC)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A5","Zs_dom","zs_dom","0.9956","","","Zs_dom=0.9956","Reframes A6 narrative: gain is head routing not domain-invariant representation"
"2","4","PROBE METHODOLOGY","Sequence-based domain probe (AV1M vs FAVC)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A6","Zc_dom","zc_dom","0.9971","","","Zc_dom=0.9971","Reframes A6 narrative: gain is head routing not domain-invariant representation"
"2","4","PROBE METHODOLOGY","Sequence-based domain probe (AV1M vs FAVC)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A6","Zs_dom","zs_dom","0.9974","","","Zs_dom=0.9974","Reframes A6 narrative: gain is head routing not domain-invariant representation"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A2","Zc_base","zc_base","0.9421","","","Zc_base=0.9421","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A2","Zc@100%","zc_at_100pct","0.5332","","","Zc@100%=0.5332 (delta=-0.4089)","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A2","delta","delta","-0.4089","","","Zc@100%=0.5332 (delta=-0.4089)","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A2","Zs@100%","zs_at_100pct","0.5287","","","Zs@100%=0.5287","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A5","Zc_base","zc_base","0.9970","","","Zc_base=0.9970","FCD Z_c has more non-audio capacity"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A5","Zc@100%","zc_at_100pct","0.6990","","","Zc@100%=0.6990 (delta=-0.2980)","FCD Z_c has more non-audio capacity"
