"group_order","row_order","experiment_group","experiment_name","script","job_ids","models_tested","result_A2","result_A5","result_A6","key_finding","paper_usage","protocol_parameters"
"1","1","STRUCTURAL BASELINE","Frozen overall FAVC AUC (trained head eval, 3-seed mean±std)","submission_prep/collect_main3_seed_results.py","train_main3_multiseed + eval_main3_multiseed_favc_matched","A2 / A5 / A6","overall=0.7720±0.0216; RV-FA=1.0000±0.0000; FV-RA=0.5004±0.0473; FV-FA=0.9996±0.0001","overall=0.8215±0.0068; RV-FA=0.9985±0.0021; FV-RA=0.6130±0.0143; FV-FA=0.9961±0.0055","overall=0.8439±0.0356; RV-FA=1.0000±0.0000; FV-RA=0.6585±0.0786; FV-FA=0.9991±0.0006","A6>A5>A2 by 3-seed mean. FV-RA mean rises from A2=0.50 to A5=0.61 to A6=0.66","Main OOD performance table (primary mean±std result)","FAVC matched N=1114; frozen AV-HuBERT; trained/full head; seeds={42,43,44}; report mean±std"
"1","2","STRUCTURAL BASELINE","E2E FAVC AUC (unfrozen encoder)","E2E training + eval","Prior runs","A2_e2e / A6_e2e","overall=0.7079","—","overall=0.8667","Binary vs FCD e2e gap = +15.9pp. Architecture advantage holds when encoder unfrozen","FCD architecture advantage is not from frozen encoder","Balanced FAVC eval 500+500; unfrozen AV-HuBERT lr=5e-6; domain push-pull on A6_e2e"
"2","3","PROBE METHODOLOGY","Sequence-based label probe (T=1 bug fix)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2 / A5 / A6","Zc_ind=0.9420±0.0083; Zc_OOD=0.7052; Zc_dom=0.9975; Zs_ind=0.9190; Zs_OOD=0.7396; Zs_dom=0.9962","Zc_ind=0.9970±0.0026; Zc_OOD=0.7744; Zc_dom=0.9966; Zs_ind=0.9967; Zs_OOD=0.7078; Zs_dom=0.9956","Zc_ind=0.9944±0.0033; Zc_OOD=0.7480; Zc_dom=0.9971; Zs_ind=0.9975; Zs_OOD=0.7127; Zs_dom=0.9974","T=1 artifact underestimated A5 Zc_OOD by 21.6pp and A6 by 22.0pp. Correct OOD ranking: A5(0.7744)>A6(0.7480)>A2(0.7052)","Corrects Section 3.5","full [T,D]→_encode()→mean-pool. 5-fold CV AV1M val N=2000. OOD: FAVC N=4089. OLD A5 Zc_OOD=0.5586 (wrong artifact)"
"2","4","PROBE METHODOLOGY","Sequence-based domain probe (AV1M vs FAVC)","avh_sup/eval_label_probe_seq.py","23656786 / 23656787 / 23656788","A2 / A5 / A6","Zc_dom=0.9975; Zs_dom=0.9962","Zc_dom=0.9966; Zs_dom=0.9956","Zc_dom=0.9971; Zs_dom=0.9974","All models Zc_dom≥0.997. A6 domain push-pull gives Δ=−0.0004 vs A2. No model achieves domain invariance","Reframes A6 narrative: gain is head routing not domain-invariant representation","Same run. Domain classifier probes Z_c/Z_s for AV1M(0) vs FAVC(1)"
"3","5","BRANCH PROBE (AV1M)","Audio masking","avh_sup/eval_branch_probe_perturb.py","23656619-21 + 23656789-91","A2 / A5 / A6","Zc_base=0.9421; Zc@100%=0.5332 (Δ=-0.4089); Zs@100%=0.5287","Zc_base=0.9970; Zc@100%=0.6990 (Δ=-0.2980); Zs@100%=0.6882","Zc_base=0.9948; Zc@100%=0.6624 (Δ=-0.3325); Zs@100%=0.6888","A2 Zc collapses to chance. FCD retains 0.66-0.70 residual (14pp more non-audio capacity)","FCD Z_c has more non-audio capacity","Fresh linear probe on frozen Z. AV1M val 5-fold. Mask levels 0 10 25 50 75 100%"
"3","6","BRANCH PROBE (AV1M)","Audio noise","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2 / A5 / A6","Zc_base=0.9421; Zc@σ=1.0=0.5664 (Δ=-0.3757); Zs@σ=1.0=0.5555","Zc_base=0.9970; Zc@σ=1.0=0.6972 (Δ=-0.2998); Zs@σ=1.0=0.7120","Zc_base=0.9948; Zc@σ=1.0=0.6741 (Δ=-0.3208); Zs@σ=1.0=0.7115","Noise and masking converge to same floor. Validates non-audio capacity estimate","Two methods agree on non-audio residual","Gaussian noise σ on audio. σ levels 0 0.05 0.10 0.20 0.50 1.00"
"3","7","BRANCH PROBE (AV1M)","Visual masking (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2 / A5 / A6","Zc_base=0.9421; Zc@100%=0.9057 (Δ=-0.0364)","Zc_base=0.9970; Zc@100%=0.9958 (Δ=-0.0012)","Zc_base=0.9948; Zc@100%=0.9960 (Δ=+0.0012)","Near-zero Δ for all models. AV1M audio-dominant; visual channel carries no task signal here","Negative control: confirms FAVC FV-RA is the right visual test","Visual mask {0-100%}. AV1M has no visual-fake manipulation — negative control"
"3","8","BRANCH PROBE (AV1M)","Visual noise (negative control)","avh_sup/eval_branch_probe_perturb.py","23656789 / 23656790 / 23656791","A2 / A5 / A6","Zc_base=0.9421; Zc@σ=1.0=0.8995 (Δ=-0.0426)","Zc_base=0.9970; Zc@σ=1.0=0.9940 (Δ=-0.0030)","Zc_base=0.9948; Zc@σ=1.0=0.9939 (Δ=-0.0009)","All Δ≈0. Validates audio dominance on AV1M","Confirms visual noise matters only when visual fakes are present (FAVC FV-RA)","Visual Gaussian noise σ {0-1.0} on AV1M"
"4","9","A2 TRAINED HEAD (PER CATEGORY)","A2 causal head: FV-RA under all perturbation types","avh_sup/eval_perturbation_robustness.py","23656795","A2 only","baseline=0.5462; audio_noise@1.0=0.3198; visual_noise@1.0=0.4714; audio_mask@100%=0.5253; visual_mask@100%=0.4694; temporal_shuffle@100%=0.4903","—","—","FV-RA baseline=0.55(chance). Audio noise tanks to 0.3198 (below chance). Head is audio-calibrated: corrupted audio misleads it on FV-RA","Hard proof of trained-head failure. Contrast with FAVC branch probe Z_c=0.99 on FV-RA","A2's OWN trained head (not a fresh probe) on FAVC FV-RA N=522. Audio/visual noise+mask, temporal shuffle"
"5","10","FAVC BRANCH PROBE","FV-RA: audio masking (Z_c survives?)","avh_sup/eval_favc_branch_probe_perturb.py","23656792 / 23656793 / 23656794","A2 / A5 / A6","base=0.9925; audio_mask@100%=0.9882 (Δ=-0.0043)","base=0.9898; audio_mask@100%=0.9924 (Δ=+0.0025)","base=0.9892; audio_mask@100%=0.9807 (Δ=-0.0085)","ALL Z_c survives audio masking on FV-RA (Δ≈0). Failure is head routing not representation","Key: Z_c probe=0.99 vs A2 trained head=0.49 on FV-RA → routing problem proven","Fresh 5-fold linear probe on frozen Z_c. FV-RA vs RV-RA. Audio mask {0-100%}"
