trim_frames,head,overall,RealVideo-FakeAudio,FakeVideo-RealAudio,FakeVideo-FakeAudio
0,causal,0.8185803167420814,0.9955621301775148,0.6156172456575683,0.9883120413155749
0,spurious,0.3162825226244344,0.4482248520710059,0.4166408188585608,0.22227507474857297
1,causal,0.7371677036199095,0.8860946745562129,0.6185638957816377,0.8342620277249252
1,spurious,0.314762443438914,0.44378698224852076,0.41640818858560796,0.21976080456645825
3,causal,0.7257847850678734,0.8920118343195266,0.6118951612903226,0.8179532481652623
3,spurious,0.3142321832579185,0.44230769230769235,0.41586538461538464,0.21928513182930143
5,causal,0.7210831447963801,0.8920118343195266,0.5994882133995038,0.8197879858657243
5,spurious,0.31281815610859726,0.44230769230769235,0.4147022332506204,0.2175863006251699
10,causal,0.7188560520361992,0.8905325443786982,0.6034429280397021,0.8121092688230497
10,spurious,0.3117222850678733,0.44082840236686394,0.4136166253101737,0.21649904865452568
