experiment,output_dir,status,n_metrics_files,n_eval_files,n_ckpt_files,max_epoch,max_step,best_val_auc_causal,best_val_auc_full,best_val_auc_spurious,best_val_auc_spurious_linear,last_train_loss,last_train_loss_task,last_train_loss_cls,last_train_loss_adv,last_train_loss_domain,last_train_loss_ladv,last_train_loss_vae,best_metrics_file,best_ckpt_by_name,best_ckpt_val_auc_causal_by_name,eval_paths,metrics_paths
outputs_A0,outputs_A0,train_only,5,0,1,99,799999,0.9978624582290649,0.9984453320503235,0.9981759786605835,0.8534916639328003,2.9588585803708156e-08,,0.0,0.0,0.0,,0.0,outputs_A0/logs/lightning_logs/version_0/metrics.csv,,,,outputs_A0/logs/lightning_logs/version_0/metrics.csv;outputs_A0/logs/lightning_logs/version_1/metrics.csv;outputs_A0/logs/lightning_logs/version_2/metrics.csv;outputs_A0/logs/lightning_logs/version_3/metrics.csv;outputs_A0/logs/lightning_logs/version_4/metrics.csv
outputs_A0_seed42,outputs_A0_seed42,train_only,1,0,1,54,439999,0.5097841620445251,0.998038113117218,0.5185691714286804,0.5339515805244446,0.005752942059189081,,0.0057006473653018475,0.0,0.0,,,outputs_A0_seed42/logs/lightning_logs/version_0/metrics.csv,,,,outputs_A0_seed42/logs/lightning_logs/version_0/metrics.csv
outputs_A0_seed43,outputs_A0_seed43,train_only,1,0,1,57,463999,0.5093027949333191,0.9982007145881653,0.5091694593429565,0.6200843453407288,1.879678893601522e-05,,4.0372611920247437e-07,0.0,0.0,,,outputs_A0_seed43/logs/lightning_logs/version_0/metrics.csv,,,,outputs_A0_seed43/logs/lightning_logs/version_0/metrics.csv
outputs_A0_seed44,outputs_A0_seed44,train_only,1,0,1,54,439999,0.502851128578186,0.9981890320777893,0.5137951374053955,0.4962654709815979,4.615333182300674e-06,,2.9206213003618586e-09,0.0,0.0,,,outputs_A0_seed44/logs/lightning_logs/version_0/metrics.csv,,,,outputs_A0_seed44/logs/lightning_logs/version_0/metrics.csv
outputs_A1,outputs_A1,train+eval,1,2,1,7,63999,0.9981174468994141,0.9982605576515198,0.5042620897293091,,6.212764739990234,,0.03697621822357178,0.6173760890960693,0.0,,,outputs_A1/logs/lightning_logs/version_0/metrics.csv,,,outputs_A1/results_favc/eval_results.txt;outputs_A1/results_favc_trimmed/eval_results.txt,outputs_A1/logs/lightning_logs/version_0/metrics.csv
outputs_A10_e2e,outputs_A10_e2e,train_only,1,0,2,3,16159,0.9999311566352844,,,,0.5871105194091797,0.01794407144188881,,,,0.5607793927192688,,outputs_A10_e2e/logs/version_0/metrics.csv,outputs_A10_e2e/ckpts/model-epoch=03-val_auc_causal=0.9999.ckpt,0.9999,,outputs_A10_e2e/logs/version_0/metrics.csv
outputs_A11_e2e,outputs_A11_e2e,train_only,1,0,2,2,12119,0.9999125003814697,,,,0.6249422430992126,0.02365577034652233,,,,0.5615936517715454,,outputs_A11_e2e/logs/version_0/metrics.csv,outputs_A11_e2e/ckpts/model-epoch=02-val_auc_causal=0.9999.ckpt,0.9999,,outputs_A11_e2e/logs/version_0/metrics.csv
outputs_A12_e2e,outputs_A12_e2e,train_only,1,0,2,2,12119,0.999687910079956,,,,0.6428676843643188,0.023030776530504227,,,,0.5614427924156189,,outputs_A12_e2e/logs/version_0/metrics.csv,outputs_A12_e2e/ckpts/model-epoch=02-val_auc_causal=0.9997.ckpt,0.9997,,outputs_A12_e2e/logs/version_0/metrics.csv
outputs_A13_e2e,outputs_A13_e2e,train_only,1,0,2,0,4039,0.9956403374671936,,,,0.9244508743286133,0.24714858829975128,,,,0.5610871315002441,,outputs_A13_e2e/logs/version_0/metrics.csv,outputs_A13_e2e/ckpts/model-epoch=00-val_auc_causal=0.9956.ckpt,0.9956,,outputs_A13_e2e/logs/version_0/metrics.csv
outputs_A14_e2e,outputs_A14_e2e,train_only,1,0,2,0,4039,0.9998154044151306,,,,0.7237816452980042,0.08326727896928787,,,,0.5611095428466797,,outputs_A14_e2e/logs/version_0/metrics.csv,outputs_A14_e2e/ckpts/model-epoch=00-val_auc_causal=0.9998.ckpt,0.9998,,outputs_A14_e2e/logs/version_0/metrics.csv
